id  front  fgtId1  fgtId2  fgtId3  fgtId4  fgtId5  P1  P2  P3  P4  P5  P6  
761  8  1002  1004  1013  1015  1016  2  4  6  13  15  16  
762  8  1001  1005  1012  1013  1018  1  5  8  12  13  18  
763  6  1002  1006  1011  1012  1014  2  6  10  11  12  14  
764  3  1001  1002  1015  1016  1017  1  2  8  15  16  17  
765  10  1001  1003  1013  1014  1017  1  3  5  13  14  17  
766  3  1001  1002  1011  1012  1013  1  2  4  11  12  13  
767  7  1004  1006  1013  1017  1018  4  6  9  13  17  18  
768  8  1004  1006  1014  1016  1018  4  6  8  14  16  18  
769  4  1003  1006  1011  1015  1016  3  6  10  11  15  16  
770  3  1002  1007  1012  1013  1016  2  7  8  12  13  16  
771  9  1005  1007  1012  1013  1016  5  7  8  12  13  16  
772  3  1001  1003  1012  1016  1018  1  3  7  12  16  18  
773  8  1002  1007  1013  1017  1018  2  7  9  13  17  18  
774  6  1002  1005  1011  1013  1016  2  5  10  11  13  16  
775  5  1001  1007  1011  1015  1018  1  7  8  11  15  18  
776  7  1002  1006  1012  1016  1017  2  6  8  12  16  17  
777  8  1004  1006  1012  1013  1017  4  6  8  12  13  17  
778  10  1001  1003  1014  1016  1017  1  3  9  14  16  17  
779  8  1002  1003  1012  1016  1018  2  3  5  12  16  18  
780  4  1001  1002  1013  1016  1018  1  2  4  13  16  18  
781  7  1004  1005  1013  1016  1017  4  5  10  13  16  17  
782  1  1006  1007  1012  1013  1017  6  7  8  12  13  17  
783  4  1001  1005  1014  1016  1018  1  5  8  14  16  18  
784  1  1001  1004  1011  1017  1018  1  4  9  11  17  18  
785  9  1003  1005  1012  1015  1017  3  5  7  12  15  17  
786  5  1004  1006  1012  1015  1016  4  6  8  12  15  16  
787  9  1003  1004  1011  1014  1018  3  4  5  11  14  18  
788  2  1001  1002  1012  1017  1018  1  2  9  12  17  18  
789  4  1001  1002  1011  1016  1018  1  2  10  11  16  18  
790  4  1001  1002  1012  1013  1016  1  2  5  12  13  16  
791  7  1002  1006  1011  1017  1018  2  6  9  11  17  18  
792  8  1001  1003  1013  1015  1016  1  3  10  13  15  16  
793  4  1001  1002  1012  1013  1016  1  2  5  12  13  16  
794  3  1001  1002  1011  1012  1013  1  2  9  11  12  13  
795  10  1002  1006  1012  1017  1018  2  6  8  12  17  18  
796  8  1001  1002  1013  1016  1018  1  2  9  13  16  18  
797  9  1002  1003  1011  1013  1016  2  3  5  11  13  16  
798  4  1003  1007  1012  1014  1016  3  7  10  12  14  16  
799  6  1004  1007  1012  1017  1018  4  7  9  12  17  18  
800  4  1005  1007  1011  1012  1014  5  7  10  11  12  14  
801  6  1003  1007  1012  1014  1015  3  7  9  12  14  15  
802  3  1001  1002  1011  1012  1017  1  2  5  11  12  17  
803  2  1003  1007  1012  1014  1017  3  7  8  12  14  17  
804  5  1001  1002  1011  1012  1015  1  2  6  11  12  15  
805  5  1001  1003  1014  1016  1018  1  3  6  14  16  18  
806  6  1003  1005  1011  1014  1017  3  5  10  11  14  17  
807  10  1003  1007  1011  1012  1017  3  7  8  11  12  17  
808  10  1004  1005  1012  1015  1018  4  5  9  12  15  18  
809  7  1003  1005  1013  1014  1016  3  5  6  13  14  16  
810  8  1001  1002  1011  1016  1018  1  2  10  11  16  18  
811  5  1003  1005  1011  1012  1018  3  5  8  11  12  18  
812  3  1003  1007  1011  1012  1017  3  7  9  11  12  17  
813  4  1001  1006  1014  1015  1016  1  6  9  14  15  16  
814  4  1001  1006  1013  1014  1018  1  6  9  13  14  18  
815  10  1001  1005  1013  1014  1018  1  5  7  13  14  18  
816  5  1003  1006  1011  1012  1017  3  6  10  11  12  17  
817  5  1002  1003  1011  1016  1018  2  3  9  11  16  18  
818  3  1001  1004  1013  1016  1017  1  4  6  13  16  17  
819  10  1003  1007  1011  1012  1013  3  7  9  11  12  13  
820  4  1002  1003  1011  1014  1018  2  3  10  11  14  18  
821  1  1001  1002  1011  1014  1016  1  2  3  11  14  16  
822  1  1004  1006  1014  1016  1017  4  6  8  14  16  17  
823  2  1001  1005  1011  1012  1013  1  5  9  11  12  13  
824  10  1001  1002  1012  1017  1018  1  2  3  12  17  18  
825  8  1002  1003  1015  1016  1017  2  3  7  15  16  17  
826  9  1002  1005  1012  1015  1016  2  5  9  12  15  16  
827  10  1001  1007  1014  1016  1017  1  7  9  14  16  17  
828  8  1002  1005  1012  1013  1014  2  5  8  12  13  14  
829  2  1002  1005  1011  1015  1016  2  5  7  11  15  16  
830  8  1001  1002  1011  1013  1018  1  2  6  11  13  18  
831  2  1005  1007  1013  1014  1017  5  7  10  13  14  17  
832  10  1003  1004  1011  1016  1018  3  4  10  11  16  18  
833  3  1002  1004  1014  1015  1017  2  4  10  14  15  17  
834  9  1001  1002  1014  1015  1017  1  2  5  14  15  17  
835  6  1003  1006  1011  1012  1018  3  6  7  11  12  18  
836  6  1002  1003  1012  1016  1018  2  3  10  12  16  18  
837  2  1001  1005  1014  1016  1018  1  5  9  14  16  18  
838  5  1001  1003  1011  1012  1017  1  3  6  11  12  17  
839  9  1002  1003  1011  1012  1015  2  3  7  11  12  15  
840  9  1001  1002  1016  1017  1018  1  2  6  16  17  18  
841  7  1002  1005  1013  1014  1015  2  5  10  13  14  15  
842  3  1001  1006  1011  1012  1016  1  6  8  11  12  16  
843  10  1003  1006  1012  1017  1018  3  6  10  12  17  18  
844  6  1001  1007  1016  1017  1018  1  7  8  16  17  18  
845  8  1001  1002  1011  1015  1018  1  2  4  11  15  18  
846  8  1006  1007  1011  1012  1017  6  7  10  11  12  17  
847  7  1002  1005  1012  1013  1015  2  5  6  12  13  15  
848  2  1003  1004  1012  1013  1014  3  4  10  12  13  14  
849  4  1003  1004  1011  1016  1018  3  4  9  11  16  18  
850  2  1001  1007  1011  1013  1016  1  7  10  11  13  16  
851  5  1001  1003  1014  1017  1018  1  3  8  14  17  18  
852  8  1001  1004  1011  1013  1018  1  4  8  11  13  18  
853  6  1003  1004  1014  1015  1017  3  4  10  14  15  17  
854  9  1005  1007  1011  1012  1015  5  7  10  11  12  15  
855  5  1001  1003  1013  1015  1018  1  3  4  13  15  18  
856  8  1004  1005  1011  1015  1016  4  5  6  11  15  16  
857  2  1005  1006  1013  1017  1018  5  6  8  13  17  18  
858  6  1002  1003  1012  1016  1017  2  3  8  12  16  17  
859  7  1001  1004  1013  1014  1015  1  4  7  13  14  15  
860  4  1001  1005  1011  1012  1017  1  5  7  11  12  17  
861  5  1004  1007  1013  1016  1017  4  7  9  13  16  17  
862  5  1003  1004  1012  1014  1018  3  4  8  12  14  18  
863  9  1004  1005  1016  1017  1018  4  5  9  16  17  18  
864  4  1004  1007  1012  1013  1014  4  7  8  12  13  14  
865  5  1003  1005  1014  1016  1017  3  5  6  14  16  17  
866  10  1001  1002  1012  1016  1018  1  2  3  12  16  18  
867  5  1001  1004  1012  1015  1018  1  4  10  12  15  18  
868  4  1001  1003  1012  1013  1018  1  3  4  12  13  18  
869  10  1001  1002  1013  1014  1015  1  2  6  13  14  15  
870  4  1002  1003  1011  1013  1015  2  3  10  11  13  15  
871  10  1001  1002  1011  1012  1014  1  2  6  11  12  14  
872  5  1002  1006  1012  1015  1018  2  6  7  12  15  18  
873  10  1001  1002  1014  1016  1017  1  2  10  14  16  17  
874  1  1005  1006  1011  1015  1018  5  6  10  11  15  18  
875  4  1002  1004  1011  1017  1018  2  4  6  11  17  18  
876  8  1003  1004  1011  1017  1018  3  4  6  11  17  18  
877  5  1002  1004  1012  1017  1018  2  4  7  12  17  18  
878  9  1002  1004  1013  1017  1018  2  4  7  13  17  18  
879  2  1001  1002  1011  1014  1016  1  2  6  11  14  16  
880  9  1002  1003  1012  1015  1016  2  3  6  12  15  16  
881  5  1003  1007  1014  1017  1018  3  7  9  14  17  18  
882  6  1001  1006  1012  1013  1018  1  6  10  12  13  18  
883  6  1001  1003  1016  1017  1018  1  3  10  16  17  18  
884  8  1001  1003  1013  1016  1017  1  3  8  13  16  17  
885  10  1005  1006  1015  1016  1018  5  6  7  15  16  18  
886  7  1004  1005  1012  1017  1018  4  5  7  12  17  18  
887  10  1002  1003  1011  1012  1014  2  3  6  11  12  14  
888  6  1001  1002  1011  1014  1016  1  2  3  11  14  16  
889  2  1001  1003  1014  1016  1017  1  3  5  14  16  17  
890  3  1002  1004  1016  1017  1018  2  4  10  16  17  18  
891  6  1002  1004  1014  1015  1018  2  4  9  14  15  18  
892  10  1003  1004  1012  1013  1018  3  4  8  12  13  18  
893  9  1003  1005  1011  1012  1015  3  5  7  11  12  15  
894  3  1001  1003  1011  1017  1018  1  3  5  11  17  18  
895  10  1002  1003  1011  1012  1018  2  3  6  11  12  18  
896  1  1001  1002  1012  1014  1015  1  2  9  12  14  15  
897  6  1002  1003  1011  1012  1018  2  3  9  11  12  18  
898  6  1001  1006  1012  1017  1018  1  6  10  12  17  18  
899  3  1004  1007  1011  1017  1018  4  7  8  11  17  18  
900  2  1002  1003  1013  1016  1017  2  3  5  13  16  17  
901  3  1004  1006  1014  1017  1018  4  6  7  14  17  18  
902  5  1005  1007  1012  1015  1016  5  7  10  12  15  16  
903  4  1005  1006  1011  1012  1014  5  6  8  11  12  14  
904  8  1003  1007  1012  1014  1017  3  7  9  12  14  17  
905  10  1001  1002  1011  1015  1016  1  2  6  11  15  16  
906  6  1002  1003  1013  1015  1017  2  3  4  13  15  17  
907  3  1004  1005  1012  1014  1018  4  5  10  12  14  18  
908  8  1004  1007  1011  1014  1016  4  7  8  11  14  16  
909  6  1006  1007  1011  1013  1017  6  7  8  11  13  17  
910  5  1002  1003  1014  1015  1017  2  3  6  14  15  17  
911  7  1003  1005  1011  1012  1017  3  5  9  11  12  17  
912  8  1005  1006  1011  1012  1014  5  6  8  11  12  14  
913  1  1002  1003  1013  1014  1015  2  3  10  13  14  15  
914  5  1002  1007  1014  1016  1018  2  7  8  14  16  18  
915  6  1006  1007  1014  1016  1017  6  7  9  14  16  17  
916  7  1002  1007  1013  1017  1018  2  7  8  13  17  18  
917  7  1002  1005  1011  1014  1017  2  5  7  11  14  17  
918  8  1003  1005  1011  1013  1015  3  5  7  11  13  15  
919  5  1001  1004  1012  1014  1015  1  4  10  12  14  15  
920  6  1003  1006  1013  1015  1016  3  6  7  13  15  16  
921  8  1001  1002  1011  1012  1018  1  2  9  11  12  18  
922  5  1001  1007  1012  1013  1018  1  7  8  12  13  18  
923  2  1001  1003  1011  1013  1014  1  3  9  11  13  14  
924  7  1003  1006  1011  1015  1016  3  6  7  11  15  16  
925  1  1001  1002  1015  1016  1017  1  2  9  15  16  17  
926  3  1001  1002  1012  1014  1016  1  2  5  12  14  16  
927  9  1001  1005  1012  1014  1015  1  5  7  12  14  15  
928  3  1003  1005  1014  1015  1016  3  5  6  14  15  16  
929  7  1001  1002  1013  1016  1017  1  2  4  13  16  17  
930  7  1001  1003  1013  1016  1018  1  3  8  13  16  18  
931  8  1004  1005  1013  1014  1017  4  5  8  13  14  17  
932  10  1002  1007  1015  1017  1018  2  7  9  15  17  18  
933  8  1002  1003  1015  1017  1018  2  3  5  15  17  18  
934  2  1001  1002  1011  1012  1014  1  2  10  11  12  14  
935  7  1004  1006  1013  1017  1018  4  6  8  13  17  18  
936  5  1003  1005  1015  1016  1017  3  5  6  15  16  17  
937  2  1003  1007  1012  1013  1017  3  7  10  12  13  17  
938  7  1001  1002  1011  1012  1018  1  2  4  11  12  18  
939  1  1005  1006  1011  1012  1017  5  6  10  11  12  17  
940  7  1001  1002  1012  1014  1017  1  2  10  12  14  17  
941  1  1002  1004  1011  1012  1015  2  4  7  11  12  15  
942  5  1003  1006  1013  1014  1018  3  6  8  13  14  18  
943  7  1002  1003  1011  1014  1018  2  3  4  11  14  18  
944  10  1001  1002  1011  1013  1017  1  2  6  11  13  17  
945  7  1002  1007  1012  1016  1017  2  7  10  12  16  17  
946  10  1001  1003  1011  1015  1017  1  3  5  11  15  17  
947  5  1002  1006  1011  1012  1014  2  6  10  11  12  14  
948  9  1003  1004  1012  1014  1015  3  4  6  12  14  15  
949  9  1001  1002  1011  1013  1015  1  2  8  11  13  15  
950  5  1001  1004  1011  1015  1018  1  4  5  11  15  18  
951  4  1004  1007  1011  1013  1014  4  7  9  11  13  14  
952  5  1003  1004  1011  1012  1016  3  4  7  11  12  16  
953  10  1003  1006  1011  1015  1016  3  6  10  11  15  16  
954  10  1001  1002  1015  1017  1018  1  2  7  15  17  18  
955  4  1003  1004  1013  1017  1018  3  4  6  13  17  18  
956  10  1002  1003  1014  1016  1018  2  3  8  14  16  18  
957  6  1001  1004  1014  1015  1017  1  4  8  14  15  17  
958  5  1002  1003  1011  1015  1018  2  3  7  11  15  18  
959  3  1001  1002  1011  1014  1017  1  2  7  11  14  17  
960  6  1005  1006  1014  1015  1017  5  6  10  14  15  17  
961  2  1002  1004  1011  1012  1017  2  4  9  11  12  17  
962  5  1001  1002  1014  1016  1017  1  2  4  14  16  17  
963  5  1001  1002  1012  1014  1016  1  2  10  12  14  16  
964  2  1001  1002  1011  1017  1018  1  2  8  11  17  18  
965  2  1001  1002  1011  1014  1016  1  2  9  11  14  16  
966  8  1001  1004  1011  1013  1015  1  4  5  11  13  15  
967  10  1004  1005  1011  1012  1018  4  5  10  11  12  18  
968  9  1002  1003  1011  1013  1017  2  3  8  11  13  17  
969  5  1001  1002  1011  1013  1017  1  2  9  11  13  17  
970  10  1004  1006  1012  1015  1016  4  6  10  12  15  16  
971  3  1001  1006  1011  1015  1018  1  6  8  11  15  18  
972  10  1001  1003  1015  1016  1017  1  3  6  15  16  17  
973  5  1001  1006  1011  1012  1015  1  6  10  11  12  15  
974  4  1001  1002  1012  1015  1017  1  2  4  12  15  17  
975  3  1002  1003  1015  1016  1017  2  3  4  15  16  17  
976  6  1002  1005  1014  1015  1017  2  5  9  14  15  17  
977  9  1001  1002  1016  1017  1018  1  2  5  16  17  18  
978  10  1006  1007  1011  1012  1015  6  7  9  11  12  15  
979  8  1002  1003  1012  1016  1018  2  3  9  12  16  18  
980  4  1001  1004  1015  1016  1017  1  4  6  15  16  17  
981  4  1001  1006  1012  1013  1015  1  6  8  12  13  15  
982  6  1001  1003  1013  1017  1018  1  3  10  13  17  18  
983  7  1005  1007  1012  1015  1016  5  7  10  12  15  16  
984  10  1002  1003  1011  1012  1015  2  3  4  11  12  15  
985  1  1001  1005  1011  1012  1013  1  5  10  11  12  13  
986  3  1001  1003  1011  1017  1018  1  3  5  11  17  18  
987  4  1002  1007  1011  1012  1014  2  7  8  11  12  14  
988  1  1001  1002  1012  1013  1018  1  2  7  12  13  18  
989  10  1002  1004  1012  1014  1016  2  4  9  12  14  16  
990  7  1006  1007  1012  1014  1018  6  7  10  12  14  18  
991  5  1001  1004  1015  1016  1018  1  4  10  15  16  18  
992  8  1004  1007  1015  1016  1017  4  7  8  15  16  17  
993  7  1004  1005  1012  1014  1015  4  5  8  12  14  15  
994  7  1001  1004  1015  1017  1018  1  4  6  15  17  18  
995  1  1003  1004  1011  1012  1015  3  4  10  11  12  15  
996  5  1003  1006  1012  1014  1015  3  6  10  12  14  15  
997  6  1001  1002  1016  1017  1018  1  2  8  16  17  18  
998  10  1001  1003  1011  1013  1014  1  3  7  11  13  14  
999  1  1001  1004  1014  1017  1018  1  4  8  14  17  18  
1000  7  1006  1007  1011  1012  1017  6  7  8  11  12  17  
1001  10  1001  1004  1011  1016  1017  1  4  7  11  16  17  
1002  1  1006  1007  1011  1013  1014  6  7  10  11  13  14  
1003  6  1003  1004  1011  1013  1014  3  4  9  11  13  14  
1004  2  1002  1004  1011  1017  1018  2  4  10  11  17  18  
1005  10  1001  1002  1011  1013  1018  1  2  5  11  13  18  
1006  6  1003  1006  1011  1013  1016  3  6  9  11  13  16  
1007  5  1001  1002  1012  1016  1018  1  2  4  12  16  18  
1008  10  1005  1007  1015  1016  1018  5  7  10  15  16  18  
1009  5  1002  1004  1013  1017  1018  2  4  5  13  17  18  
1010  9  1003  1004  1012  1014  1015  3  4  6  12  14  15  
1011  3  1001  1002  1011  1017  1018  1  2  9  11  17  18  
1012  10  1002  1003  1014  1016  1018  2  3  8  14  16  18  
1013  8  1001  1002  1012  1014  1015  1  2  7  12  14  15  
1014  1  1001  1003  1014  1016  1018  1  3  6  14  16  18  
1015  2  1002  1003  1011  1012  1018  2  3  7  11  12  18  
1016  8  1002  1005  1014  1015  1017  2  5  6  14  15  17  
1017  6  1002  1005  1011  1015  1016  2  5  9  11  15  16  
1018  10  1001  1002  1012  1014  1017  1  2  4  12  14  17  
1019  8  1004  1005  1012  1013  1017  4  5  10  12  13  17  
1020  5  1002  1004  1015  1017  1018  2  4  6  15  17  18  
1021  6  1005  1006  1013  1017  1018  5  6  10  13  17  18  
1022  6  1001  1003  1013  1016  1018  1  3  8  13  16  18  
1023  7  1001  1005  1011  1014  1018  1  5  10  11  14  18  
1024  10  1001  1005  1013  1014  1016  1  5  7  13  14  16  
1025  8  1002  1007  1011  1014  1015  2  7  9  11  14  15  
1026  6  1001  1003  1012  1013  1014  1  3  10  12  13  14  
1027  4  1002  1004  1011  1012  1016  2  4  8  11  12  16  
1028  1  1001  1002  1012  1014  1015  1  2  8  12  14  15  
1029  2  1004  1005  1011  1013  1015  4  5  6  11  13  15  
1030  3  1001  1006  1011  1014  1015  1  6  9  11  14  15  
1031  7  1001  1002  1014  1015  1016  1  2  8  14  15  16  
1032  4  1002  1005  1012  1016  1018  2  5  6  12  16  18  
1033  9  1003  1004  1014  1015  1016  3  4  5  14  15  16  
1034  3  1001  1002  1011  1013  1016  1  2  4  11  13  16  
1035  10  1004  1006  1013  1015  1017  4  6  10  13  15  17  
1036  10  1003  1007  1011  1013  1018  3  7  10  11  13  18  
1037  7  1002  1003  1013  1014  1017  2  3  4  13  14  17  
1038  1  1003  1007  1011  1016  1018  3  7  10  11  16  18  
1039  4  1003  1004  1013  1015  1017  3  4  10  13  15  17  
1040  5  1002  1003  1011  1012  1014  2  3  7  11  12  14  
1041  9  1001  1002  1013  1014  1015  1  2  6  13  14  15  
1042  7  1003  1007  1014  1015  1018  3  7  10  14  15  18  
1043  2  1001  1006  1013  1014  1016  1  6  7  13  14  16  
1044  6  1001  1002  1012  1017  1018  1  2  3  12  17  18  
1045  6  1004  1007  1012  1014  1018  4  7  10  12  14  18  
1046  7  1001  1002  1016  1017  1018  1  2  5  16  17  18  
1047  10  1001  1002  1015  1016  1018  1  2  8  15  16  18  
1048  7  1003  1006  1011  1016  1017  3  6  8  11  16  17  
1049  3  1001  1005  1011  1012  1014  1  5  6  11  12  14  
1050  10  1002  1007  1012  1014  1015  2  7  9  12  14  15  
1051  5  1001  1004  1011  1012  1013  1  4  8  11  12  13  
1052  9  1001  1005  1011  1012  1013  1  5  10  11  12  13  
1053  5  1005  1007  1011  1012  1017  5  7  8  11  12  17  
1054  8  1004  1005  1011  1015  1016  4  5  6  11  15  16  
1055  2  1004  1007  1013  1016  1017  4  7  8  13  16  17  
1056  3  1001  1002  1012  1015  1018  1  2  7  12  15  18  
1057  1  1003  1007  1011  1012  1017  3  7  9  11  12  17  
1058  8  1001  1002  1011  1012  1017  1  2  10  11  12  17  
1059  3  1003  1005  1013  1014  1015  3  5  8  13  14  15  
1060  1  1002  1005  1011  1013  1014  2  5  8  11  13  14  
1061  10  1002  1005  1012  1016  1017  2  5  10  12  16  17  
1062  1  1002  1006  1014  1016  1017  2  6  7  14  16  17  
1063  5  1005  1007  1011  1013  1017  5  7  9  11  13  17  
1064  7  1003  1004  1011  1013  1016  3  4  7  11  13  16  
1065  6  1003  1004  1011  1012  1013  3  4  9  11  12  13  
1066  5  1001  1002  1012  1017  1018  1  2  7  12  17  18  
1067  8  1005  1007  1012  1014  1015  5  7  9  12  14  15  
1068  4  1002  1004  1011  1014  1018  2  4  7  11  14  18  
1069  1  1005  1007  1013  1016  1018  5  7  10  13  16  18  
1070  5  1004  1006  1013  1015  1017  4  6  8  13  15  17  
1071  10  1002  1003  1011  1014  1016  2  3  10  11  14  16  
1072  3  1001  1003  1011  1012  1018  1  3  7  11  12  18  
1073  5  1005  1006  1012  1015  1016  5  6  10  12  15  16  
1074  3  1002  1004  1013  1017  1018  2  4  7  13  17  18  
1075  3  1001  1002  1011  1015  1016  1  2  6  11  15  16  
1076  2  1001  1002  1012  1014  1017  1  2  4  12  14  17  
1077  10  1003  1007  1014  1015  1018  3  7  8  14  15  18  
1078  2  1001  1005  1013  1014  1016  1  5  6  13  14  16  
1079  5  1001  1002  1012  1014  1015  1  2  8  12  14  15  
1080  4  1001  1002  1012  1014  1017  1  2  4  12  14  17  
1081  10  1001  1004  1011  1013  1015  1  4  5  11  13  15  
1082  7  1001  1003  1014  1015  1017  1  3  6  14  15  17  
1083  3  1001  1006  1013  1015  1017  1  6  8  13  15  17  
1084  4  1006  1007  1012  1013  1015  6  7  9  12  13  15  
1085  7  1005  1006  1011  1013  1015  5  6  7  11  13  15  
1086  6  1001  1004  1011  1012  1015  1  4  10  11  12  15  
1087  4  1005  1006  1013  1015  1018  5  6  7  13  15  18  
1088  4  1005  1006  1013  1015  1017  5  6  7  13  15  17  
1089  2  1006  1007  1013  1015  1017  6  7  9  13  15  17  
1090  10  1005  1007  1011  1012  1014  5  7  9  11  12  14  
1091  2  1003  1007  1011  1015  1016  3  7  10  11  15  16  
1092  9  1001  1002  1015  1017  1018  1  2  8  15  17  18  
1093  2  1002  1003  1012  1013  1016  2  3  7  12  13  16  
1094  9  1001  1002  1014  1015  1018  1  2  4  14  15  18  
1095  10  1003  1005  1011  1012  1016  3  5  7  11  12  16  
1096  5  1001  1003  1012  1013  1018  1  3  5  12  13  18  
1097  10  1001  1004  1011  1016  1018  1  4  7  11  16  18  
1098  2  1003  1005  1014  1017  1018  3  5  9  14  17  18  
1099  8  1001  1005  1014  1015  1016  1  5  6  14  15  16  
1100  3  1001  1006  1012  1014  1017  1  6  8  12  14  17  
1101  10  1002  1005  1012  1013  1016  2  5  10  12  13  16  
1102  5  1005  1006  1015  1016  1018  5  6  7  15  16  18  
1103  6  1005  1006  1013  1015  1017  5  6  8  13  15  17  
1104  6  1001  1006  1011  1015  1017  1  6  10  11  15  17  
1105  9  1001  1007  1011  1013  1016  1  7  8  11  13  16  
1106  6  1001  1004  1013  1016  1018  1  4  7  13  16  18  
1107  8  1003  1006  1014  1015  1018  3  6  10  14  15  18  
1108  2  1003  1004  1012  1013  1014  3  4  6  12  13  14  
1109  10  1002  1007  1013  1014  1015  2  7  8  13  14  15  
1110  1  1002  1004  1013  1014  1015  2  4  6  13  14  15  
1111  10  1002  1003  1015  1016  1018  2  3  6  15  16  18  
1112  6  1003  1004  1011  1012  1017  3  4  9  11  12  17  
1113  9  1003  1004  1013  1015  1017  3  4  9  13  15  17  
1114  3  1001  1005  1012  1015  1018  1  5  8  12  15  18  
1115  1  1005  1007  1011  1012  1018  5  7  10  11  12  18  
1116  5  1005  1007  1013  1016  1018  5  7  10  13  16  18  
1117  5  1003  1006  1013  1014  1016  3  6  9  13  14  16  
1118  1  1001  1003  1015  1016  1018  1  3  4  15  16  18  
1119  3  1002  1003  1011  1013  1017  2  3  10  11  13  17  
1120  10  1004  1007  1011  1012  1018  4  7  10  11  12  18  
1121  8  1004  1006  1015  1017  1018  4  6  10  15  17  18  
1122  4  1001  1002  1011  1014  1017  1  2  10  11  14  17  
1123  8  1002  1005  1014  1016  1018  2  5  7  14  16  18  
1124  10  1002  1003  1012  1017  1018  2  3  5  12  17  18  
1125  3  1001  1002  1012  1015  1017  1  2  5  12  15  17  
1126  6  1001  1003  1011  1016  1017  1  3  5  11  16  17  
1127  2  1003  1006  1013  1014  1017  3  6  9  13  14  17  
1128  2  1002  1005  1012  1013  1015  2  5  10  12  13  15  
1129  6  1003  1004  1012  1013  1017  3  4  6  12  13  17  
1130  10  1004  1005  1011  1012  1015  4  5  8  11  12  15  
1131  1  1003  1005  1013  1017  1018  3  5  8  13  17  18  
1132  1  1001  1004  1012  1014  1016  1  4  7  12  14  16  
1133  9  1003  1007  1011  1012  1013  3  7  10  11  12  13  
1134  10  1001  1006  1013  1016  1017  1  6  9  13  16  17  
1135  9  1001  1006  1012  1016  1018  1  6  9  12  16  18  
1136  2  1001  1004  1012  1015  1018  1  4  6  12  15  18  
1137  5  1003  1004  1012  1013  1018  3  4  6  12  13  18  
1138  5  1003  1006  1012  1013  1016  3  6  8  12  13  16  
1139  10  1001  1002  1011  1015  1016  1  2  5  11  15  16  
1140  7  1001  1002  1011  1012  1013  1  2  8  11  12  13  
1141  5  1001  1002  1011  1012  1017  1  2  10  11  12  17  
1142  4  1002  1007  1011  1017  1018  2  7  8  11  17  18  
1143  3  1005  1007  1012  1014  1018  5  7  9  12  14  18  
1144  1  1002  1007  1012  1014  1017  2  7  8  12  14  17  
1145  9  1001  1002  1016  1017  1018  1  2  5  16  17  18  
1146  7  1002  1007  1014  1015  1018  2  7  8  14  15  18  
1147  4  1001  1007  1013  1015  1016  1  7  9  13  15  16  
1148  6  1003  1004  1011  1016  1017  3  4  6  11  16  17  
1149  10  1001  1006  1011  1014  1016  1  6  10  11  14  16  
1150  10  1001  1004  1014  1015  1016  1  4  9  14  15  16  
1151  9  1002  1003  1014  1015  1016  2  3  6  14  15  16  
1152  3  1001  1002  1012  1014  1016  1  2  10  12  14  16  
1153  6  1002  1003  1012  1017  1018  2  3  5  12  17  18  
1154  1  1002  1003  1015  1016  1017  2  3  10  15  16  17  
1155  9  1001  1004  1014  1017  1018  1  4  5  14  17  18  
1156  6  1001  1007  1013  1014  1016  1  7  10  13  14  16  
1157  2  1001  1004  1012  1013  1015  1  4  7  12  13  15  
1158  7  1001  1002  1011  1013  1018  1  2  9  11  13  18  
1159  5  1001  1003  1015  1016  1018  1  3  8  15  16  18  
1160  9  1001  1004  1013  1014  1016  1  4  7  13  14  16  
1161  4  1001  1003  1016  1017  1018  1  3  4  16  17  18  
1162  2  1004  1005  1014  1017  1018  4  5  8  14  17  18  
1163  5  1003  1007  1016  1017  1018  3  7  10  16  17  18  
1164  5  1002  1004  1012  1017  1018  2  4  6  12  17  18  
1165  1  1002  1004  1012  1016  1017  2  4  9  12  16  17  
1166  4  1002  1004  1011  1012  1013  2  4  7  11  12  13  
1167  8  1003  1004  1011  1012  1017  3  4  7  11  12  17  
1168  10  1003  1004  1013  1014  1018  3  4  6  13  14  18  
1169  7  1001  1004  1011  1016  1017  1  4  5  11  16  17  
1170  10  1002  1003  1014  1017  1018  2  3  5  14  17  18  
1171  6  1001  1002  1013  1014  1015  1  2  8  13  14  15  
1172  6  1001  1002  1012  1016  1018  1  2  8  12  16  18  
1173  1  1001  1007  1011  1013  1016  1  7  9  11  13  16  
1174  8  1003  1005  1014  1017  1018  3  5  8  14  17  18  
1175  6  1001  1002  1011  1013  1016  1  2  5  11  13  16  
1176  10  1001  1005  1013  1016  1017  1  5  7  13  16  17  
1177  10  1004  1007  1011  1012  1017  4  7  9  11  12  17  
1178  7  1001  1007  1011  1013  1017  1  7  9  11  13  17  
1179  4  1002  1004  1011  1012  1015  2  4  8  11  12  15  
1180  7  1002  1004  1012  1015  1016  2  4  9  12  15  16  
1181  5  1001  1005  1012  1013  1016  1  5  9  12  13  16  
1182  2  1003  1005  1014  1015  1017  3  5  8  14  15  17  
1183  1  1002  1003  1016  1017  1018  2  3  8  16  17  18  
1184  6  1002  1006  1011  1014  1015  2  6  10  11  14  15  
1185  7  1002  1007  1011  1012  1016  2  7  8  11  12  16  
1186  9  1002  1004  1012  1013  1017  2  4  6  12  13  17  
1187  4  1002  1003  1011  1012  1015  2  3  7  11  12  15  
1188  1  1001  1002  1012  1014  1017  1  2  5  12  14  17  
1189  1  1002  1004  1012  1013  1016  2  4  9  12  13  16  
